Timestamp(us), ax, ay, az, gx, gy, gz
1439688720,-2010,-642,187,144,84,-416
1439708709,-1963,-619,221,26,140,-443
1439728698,-2085,-745,535,4,93,-321
1439748687,-2038,-863,394,30,-147,-221
1439768676,-1906,-910,263,-34,-130,-217
1439788665,-2022,-951,282,-121,-34,-163
1439808654,-2159,-1026,353,-168,-8,-45
1439828643,-2185,-1100,364,-181,-93,52
1439848632,-2229,-1139,376,-176,-159,111
1439868621,-2221,-1131,362,-173,-138,118
1439888610,-2108,-1109,338,-158,-91,113
1439908599,-2048,-1029,320,-160,-131,146
1439928588,-2067,-1040,390,-161,-120,175
1439948577,-2020,-1074,426,-142,-33,168
1439968566,-2057,-1083,350,-125,29,171
1439988555,-2076,-943,160,-151,84,183
1440008544,-1999,-745,154,-200,-41,200
1440028533,-1886,-563,304,-256,-204,220
1440048522,-1741,-407,322,-270,-262,217
1440068511,-1628,-302,262,-256,-266,193
1440088500,-1623,-275,207,-246,-281,163
1440108489,-1679,-258,198,-241,-325,129
1440128479,-1764,-219,248,-217,-366,101
1440148468,-1812,-174,322,-155,-330,55
1440168457,-1811,-119,356,-72,-240,-6
1440188446,-1840,-79,406,0,-155,-48
1440208435,-1909,-45,421,57,-90,-58
1440228424,-1851,-35,398,104,-51,-75
1440248413,-1751,-89,468,134,-49,-101
1440268402,-1677,-169,564,160,-30,-142
1440288391,-1730,-269,626,170,-20,-179
1440308380,-1884,-407,606,159,-17,-194
1440328369,-1971,-556,540,130,6,-218
1440348358,-1937,-662,527,96,28,-255
1440368347,-1871,-735,549,75,51,-297
1440388336,-1822,-796,484,53,94,-344
1440408325,-1873,-828,372,2,200,-371
1440428314,-1978,-865,355,-40,265,-344
1440448303,-2087,-959,339,-38,69,-242
1440468292,-2002,-1020,236,-56,-126,-155
1440488281,-1935,-955,244,-107,-94,-144
1440508270,-2006,-996,483,-85,-90,-113
1440528259,-2085,-1067,248,-18,-257,-8
1440548248,-2029,-1134,228,-29,-504,16
1440568237,-2208,-1247,430,-136,-485,33
1440588226,-2157,-1319,791,-158,-410,11
1440608215,-2027,-1248,696,-154,-371,48
1440628204,-1971,-1068,388,-218,-468,127
1440648193,-1915,-898,412,-300,-634,216
1440668182,-1887,-893,616,-343,-680,276
1440688171,-1770,-803,674,-318,-639,294
1440708160,-1686,-720,595,-306,-498,305
1440728149,-1618,-583,490,-295,-386,307
1440748138,-1623,-486,576,-273,-324,286
1440768127,-1647,-418,637,-208,-252,270
1440788116,-1726,-326,557,-121,-172,247
1440808105,-1811,-204,458,-44,-98,216
1440828094,-1851,-145,444,22,-60,178
1440848083,-1856,-115,483,69,-16,156
1440868072,-1863,-105,551,114,79,136
1440888061,-1822,-94,572,180,196,106
1440908050,-1766,-128,582,245,266,69
1440928039,-1727,-177,624,278,304,23
